,Threshold,Chunk Size,Precision,Recall,F1_score,Accuracy
0,0.1,1,0.16269193074158772,0.784251968503937,0.2694805194805195,0.7648902821316612
1,0.1,2,0.13664765009508287,0.7921259842519685,0.23308619091751623,0.711772901428074
2,0.1,3,0.13401783301810322,0.7811023622047244,0.2287822878228782,0.708812260536399
3,0.1,4,0.12688597576057384,0.8078740157480315,0.2193244976485678,0.681992337164751
4,0.1,5,0.12475538160469667,0.8031496062992126,0.21596442938810076,0.6775513758272372
5,0.1,6,0.12531017369727046,0.7952755905511811,0.2165058949624866,0.6817311041448969
6,0.1,7,0.0832928212607357,0.8094488188976378,0.15104319717895975,0.49686520376175586
7,0.1,8,0.11566377897447905,0.7779527559055118,0.20138605788830005,0.6588296760710557
8,0.1,9,0.11420612813370473,0.7748031496062993,0.1990693910580619,0.6552594914663881
9,0.1,10,0.10166799046862589,0.8062992125984252,0.1805678010932816,0.5953500522466042
10,0.1,11,0.09544346521657604,0.8015748031496063,0.17057640750670242,0.5689655172413796
11,0.1,12,0.11923726768042481,0.7779527559055118,0.20678107994976977,0.6699756182514803
12,0.1,13,0.11217075386012716,0.7779527559055118,0.1960706489382814,0.6472483455242072
13,0.1,14,0.09333828168491372,0.7921259842519685,0.16699867197875168,0.5630442354580293
14,0.1,15,0.10814944286650645,0.7795275590551181,0.18994627782041443,0.6323580633925469
15,0.1,16,0.1118026228050678,0.7921259842519685,0.19594857810673938,0.6405433646812952
16,0.1,17,0.09794901284262987,0.8047244094488188,0.17464114832535885,0.5794148380355288
17,0.1,18,0.10870032223415682,0.7968503937007874,0.19130434782608696,0.6274817136886094
18,0.1,19,0.1138468488818613,0.7937007874015748,0.1991307783484789,0.6469871125043536
19,0.1,20,0.10919664010338144,0.7984251968503937,0.1921182266009852,0.6287008011145934
20,0.1,21,0.10420065252854813,0.8047244094488188,0.1845098393211771,0.6066701497735968
21,0.1,22,0.09452363090772693,0.7937007874015748,0.1689291101055807,0.5681818181818181
22,0.2,1,0.17317246273953157,0.768503937007874,0.2826527657109759,0.7843086032741206
23,0.2,2,0.16511318242343542,0.7811023622047244,0.27260236328661724,0.7695053988157441
24,0.2,3,0.15830365814179345,0.7700787401574803,0.26262083780880774,0.7608847091605712
25,0.2,4,0.1545595054095827,0.7874015748031497,0.2583979328165375,0.7500870776732848
26,0.2,5,0.15310258808855629,0.7732283464566929,0.25559604372722544,0.7509578544061288
27,0.2,6,0.14775413711583923,0.7874015748031497,0.2488181139586962,0.7371125043538833
28,0.2,7,0.12509344629952654,0.7905511811023622,0.21600688468158347,0.6826889585510283
29,0.2,8,0.14496684749849306,0.75748031496063,0.2433594738173539,0.739550679205851
30,0.2,9,0.14336492890995262,0.7622047244094489,0.2413363251059586,0.735022640195053
31,0.2,10,0.14108482400461628,0.7700787401574803,0.23847841989758595,0.728056426332288
32,0.2,11,0.14090644973852412,0.7637795275590551,0.23792003924454255,0.7294496691048415
33,0.2,12,0.14370195150798346,0.7653543307086614,0.24197162061239733,0.7348484848484844
34,0.2,13,0.13475965545984997,0.7637795275590551,0.2290977798771847,0.7157784743991629
35,0.2,14,0.1254762509525019,0.7779527559055118,0.21609798775153105,0.6879136189481017
36,0.2,15,0.13407510431154382,0.7590551181102362,0.22789598108747047,0.7156043190525949
37,0.2,16,0.13291312688407783,0.7637795275590551,0.2264239028944911,0.7114245907349349
38,0.2,17,0.1305398871877518,0.7653543307086614,0.22303809086737034,0.7051549982584459
39,0.2,18,0.13577168190634525,0.7716535433070866,0.23091423185673893,0.7157784743991633
40,0.2,19,0.13549459684123025,0.7700787401574803,0.2304429783223374,0.7156043190525945
41,0.2,20,0.13253012048192772,0.7795275590551181,0.2265446224256293,0.7056774642981533
42,0.2,21,0.13127001067235858,0.7748031496062993,0.22450376454483228,0.7040229885057468
43,0.2,22,0.1266250650026001,0.7669291338582677,0.2173621959384066,0.6946185997910136
44,0.3,1,0.18990976210008204,0.7291338582677165,0.3013342011064107,0.8130442354580283
45,0.3,2,0.18335901386748846,0.7496062992125985,0.29464562055091303,0.8015499825844655
46,0.3,3,0.1752958579881657,0.7464566929133858,0.28391734052111406,0.7917972831765936
47,0.3,4,0.1747184889211769,0.75748031496063,0.2839433293978748,0.7887495646116327
48,0.3,5,0.1734357848518112,0.7464566929133858,0.2814726840855106,0.7892720306513406
49,0.3,6,0.1595919710431063,0.7637795275590551,0.2640174197060425,0.7645419714385224
50,0.3,7,0.14202730177171072,0.7700787401574803,0.23982344286414908,0.7300592128178328
51,0.3,8,0.1550211244718882,0.7511811023622047,0.25700431034482757,0.759839777081156
52,0.3,9,0.15515548281505728,0.7464566929133858,0.25691056910569104,0.7612330198537093
53,0.3,10,0.1527553980019336,0.7464566929133858,0.2536115569823435,0.7570532915360496
54,0.3,11,0.1563826314071172,0.7543307086614173,0.25905895078420765,0.7614071752002786
55,0.3,12,0.1488621997471555,0.7417322834645669,0.2479599894709134,0.7512190874259834
56,0.3,13,0.1396862977212193,0.7433070866141732,0.2351768809167912,0.7326715430163693
57,0.3,14,0.13289219740832645,0.7590551181102362,0.22618488972313466,0.7128178335074882
58,0.3,15,0.1408955223880597,0.7433070866141732,0.23688833124215808,0.7351967955416223
59,0.3,16,0.13952130764740223,0.752755905511811,0.23540999753755232,0.7296238244514094
60,0.3,17,0.14285714285714285,0.7543307086614173,0.24022066198595787,0.7361546499477525
