threshold,f1,precision,recall,accuracy
0.1,0.6988847583643122,0.6527777777777778,0.752,0.580952380952381
0.2,0.7258064516129032,0.7317073170731707,0.72,0.6
0.30000000000000004,0.748936170212766,0.8,0.704,0.6095238095238096
0.4,0.7565217391304347,0.8285714285714286,0.696,0.6190476190476191
0.5,0.7631578947368421,0.8446601941747572,0.696,0.6190476190476191
0.6,0.7533632286995515,0.8571428571428571,0.672,0.5904761904761905
0.7000000000000001,0.7247706422018348,0.8494623655913979,0.632,0.5523809523809524
0.8,0.7014218009478673,0.8604651162790697,0.592,0.5142857142857142
0.9,0.6354166666666666,0.9104477611940298,0.488,0.47619047619047616
