,Threshold,Precision,Recall,F1_score,Accuracy
0,0.1,0.6248382923673997,0.9252873563218391,0.745945945945946,0.6848659003831418
1,0.2,0.6434426229508197,0.9022988505747126,0.7511961722488039,0.7011494252873564
2,0.3,0.887240356083086,0.5727969348659003,0.6961583236321303,0.75
3,0.4,0.887240356083086,0.5727969348659003,0.6961583236321303,0.75
4,0.5,0.8858858858858859,0.5651340996168582,0.6900584795321637,0.7461685823754789
5,0.6,0.8858858858858859,0.5651340996168582,0.6900584795321637,0.7461685823754789
6,0.7,0.9172413793103448,0.5095785440613027,0.6551724137931034,0.7318007662835249
7,0.8,0.9244604316546763,0.49233716475095785,0.6425,0.7260536398467433
8,0.9,0.9453781512605042,0.43103448275862066,0.5921052631578947,0.7030651340996169
9,1.0,0.0,0.0,0.0,0.5
